"","大盤","大盤變動率","大盤-7日簡單平均線","大盤-7日指數平均線","日新增案例","日新增案例-7日簡單平均線","日新增案例-7日指數平均線","累積案例"
"2021-04-01",16571.279297,0.00849327547971868,16445.858817,16445.858817,6,3.42857142857143,3.42857142857143,1036
"2021-04-02",16611.95931,0.00245184226053752,16489.5844494286,16487.38394025,3,3.71428571428571,3.32142857142857,1039
"2021-04-03",16652.639323,0.00244584543035309,16531.0219494286,16528.6977859375,6,3.57142857142857,3.99107142857143,1045
"2021-04-04",16693.319336,0.00243987786326372,16570.171317,16569.8531734531,2,3.57142857142857,3.49330357142857,1047
"2021-04-05",16733.999349,0.00243393934559499,16607.0325521429,16610.8897173398,1,3.57142857142857,2.86997767857143,1048
"2021-04-06",16774.679362,0.00242802966574729,16638.429548,16651.8371285049,2,3.71428571428571,2.65248325892857,1050
"2021-04-07",16815.359375,0.00242214861417622,16693.319336,16692.7176901287,0,2.85714285714286,1.98936244419643,1050
"2021-04-08",16926.439453,0.00658414685310049,16744.0565011429,16751.1481308465,0,2,1.49202183314732,1050
"2021-04-09",16854.099609,-0.00428293666054103,16778.6479724286,16776.8860003849,4,2.14285714285714,2.11901637486049,1054
"2021-04-10",16855.9661456667,0.000110740612738525,16807.6946613809,16796.6560367053,2,1.57142857142857,2.08926228114537,1056
"2021-04-11",16857.8326823333,0.000110728350612987,16831.196568,16811.9501981123,1,1.42857142857143,1.81694671085903,1057
"2021-04-12",16859.699219,0.0001107160912035,16849.1536922857,16823.8874533342,1,1.42857142857143,1.61271003314427,1058
"2021-04-13",16824.910156,-0.00206557689192444,16856.32952,16824.1431290007,4,1.71428571428571,2.2095325248582,1062
"2021-04-14",16865.970703,0.00243748850031089,16863.5597097143,16834.6000225005,5,2.42857142857143,2.90714939364365,1067
"2021-04-15",17076.730469,0.0124187213987952,16885.0298548571,16895.1326341254,1,2.57142857142857,2.43036204523274,1068
"2021-04-16",17158.810547,0.00479503070970466,16928.5599888571,16961.052112344,2,2.28571428571429,2.32277153392455,1070
"2021-04-17",17193.6334636667,0.00202739162218712,16976.7981771429,17019.1974501747,2,2.28571428571429,2.24207865044342,1072
"2021-04-18",17228.4563803333,0.00202328962035914,17029.7444197143,17071.5121827144,1,2.28571428571429,1.93155898783256,1073
"2021-04-19",17263.279297,0.0020192041841014,17087.3987165714,17119.4539612858,3,2.57142857142857,2.19866924087442,1076
"2021-04-20",17323.869141,0.00350360805767558,17158.6785715714,17170.5577562143,2,2.28571428571429,2.14900193065582,1078
"2021-04-21",17202.109375,-0.00705325531745338,17206.6983818571,17178.4456609107,4,2.14285714285714,2.61175144799186,1082
"2021-04-22",17096.970703,-0.00613071843734581,17209.5898438571,17158.0769214331,4,2.57142857142857,2.9588135859939,1086
"2021-04-23",17300.269531,0.0118207852649359,17229.7982701429,17193.6250738248,4,2.85714285714286,3.21911018949542,1090
"2021-04-24",17390.9427083333,0.00522745548283687,17257.9853050952,17242.9544824519,7,3.57142857142857,4.16433264212157,1097
"2021-04-25",17481.6158856667,0.00520027123487488,17294.1509487143,17302.6198332556,3,3.85714285714286,3.87324948159117,1100
"2021-04-26",17572.289063,0.00517336825643078,17338.295201,17370.0371406917,4,4,3.90493711119338,1104
"2021-04-27",17595.900391,0.00134276639851016,17377.1568081429,17426.5029532688,6,4.57142857142857,4.42870283339504,1110
"2021-04-28",17567.529297,-0.00161367081698671,17429.3596541429,17461.7595392016,6,4.85714285714286,4.82152712504628,1116
"2021-04-29",17566.660156,-4.94755116715595e-05,17496.4581474286,17487.9846934012,5,5,4.86614534378471,1121
"2021-04-30",17480.58251925,-0.00491210168094014,17522.21714575,17486.1341498634,7,5.42857142857143,5.39960900783853,1128
"2021-05-01",17394.5048825,-0.00493634958101019,17522.7260277738,17463.2268330225,4,5,5.0497067558789,1132
"2021-05-02",17308.42724575,-0.00496083806187286,17497.9847935,17424.5269362044,5,5.28571428571429,5.03728006690917,1137
"2021-05-03",17222.349609,-0.00498557072184447,17447.9934429286,17373.9826044033,8,5.85714285714286,5.77796005018188,1145
"2021-05-04",16933.779297,-0.0168975342007496,17353.4047152143,17263.9317775525,8,6.14285714285714,6.33347003763641,1153
"2021-05-05",16843.439453,-0.00534917099487053,17249.9633089286,17158.8086964144,7,6.28571428571429,6.50010252822731,1160
"2021-05-06",16994.359375,0.00892025651567607,17168.2060545,17117.6963660608,13,7.42857142857143,8.12507689617048,1173
"2021-05-07",17285,0.0169575858462458,17140.2656946071,17159.5222745456,5,7.14285714285714,7.34380767212786,1178
"2021-05-08",17268.5364583333,-0.00095292954643611,17122.2702054405,17186.7758204925,5,7.28571428571429,6.7578557540959,1183
"2021-05-09",17252.0729166667,-0.000953838487381731,17114.219587,17203.1000945361,1,6.71428571428571,5.31839181557192,1184
"2021-05-10",17235.609375,-0.000954749163950552,17116.1138392857,17211.227414652,15,7.71428571428571,7.73879386167894,1199
"2021-05-11",16583.130859,-0.038591590821401,17066.0212052857,17054.203275739,11,8.14285714285714,8.55409539625921,1210
"2021-05-12",15902.370117,-0.041917803274897,16931.5827287143,16766.2449860543,21,10.1428571428571,11.6655715471944,1231
"2021-05-13",15670.099609,-0.0147137490630005,16742.4027621429,16492.2086417907,25,11.8571428571429,14.9991786603958,1256
"2021-05-14",15827.089844,0.00996860594706028,16534.1298827143,16325.928942343,34,16,19.7493839952969,1290
"2021-05-15",15669.3564453333,-0.0100160326583296,16305.6755951429,16161.7858180906,185,41.7142857142857,61.0620379964726,1475
"2021-05-16",15511.6230466667,-0.0101173694165713,16057.0398994286,15999.2451252346,207,71.1428571428571,97.5465284973545,1682
"2021-05-17",15353.889648,-0.0102207776912948,15788.2227955714,15837.906255926,335,116.857142857143,156.909896373016,2017
"2021-05-18",16145.980469,0.0503022921252576,15725.7727398571,15914.9248091945,243,150,178.432422279762,2260
"2021-05-19",16132.660156,-0.000825333006483575,15758.6713168571,15969.3586458959,273,186,202.074316709821,2533
"2021-05-20",16042.360352,-0.00561305258918132,15811.851423,15987.6090724219,292,224.142857142857,224.555737532366,2825
"2021-05-21",16302.05957,0.0160587080914762,15879.704241,16066.2216968164,314,264.142857142857,246.916803149275,3139
"2021-05-22",16314.136393,0.000740541512911363,15971.8156620952,16128.2003708623,723,341,365.937602361956,3862
"2021-05-23",16326.213216,0.000739993516965853,16088.1856862857,16177.7035821467,460,377.142857142857,389.453201771467,4322
"2021-05-24",16338.290039,0.000739446331451177,16228.8143135714,16217.8501963601,595,414.285714285714,440.8399013286,4917
"2021-05-25",16595.669922,0.0156303780836513,16293.055664,16312.30512777,539,456.571428571429,465.37992599645,5456
"2021-05-26",16643.689453,0.00288931948804994,16366.0598492857,16395.1512090775,635,508.285714285714,507.784944497338,6091
"2021-05-27",16601.609375,-0.00253149178715795,16445.9525668571,16446.7657505581,670,562.285714285714,548.338708373003,6761
"2021-05-28",16870.859375,0.0160881953156622,16527.2096818571,16552.7891566686,554,596.571428571429,549.754031279752,7315
"2021-05-29",16936.716146,0.00389598208606401,16616.1496465714,16648.7709040015,491,563.428571428571,535.065523459814,7806
"2021-05-30",17002.572917,0.00388086229702544,16712.772461,16737.2214072511,354,548.285714285714,489.799142594861,8160
"2021-05-31",17068.429688,0.00386585941023831,16817.0781251429,16820.0234774383,351,513.428571428571,455.099356946146,8511
"2021-06-01",17162.380859,0.00548928905931589,16898.0368304286,16905.6128228287,331,483.714285714286,424.074517709609,8842
"2021-06-02",17165.039063,0.000154873509941922,16972.5153461429,16970.4693828716,547,471.142857142857,454.805888282207,9389
